STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 04:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 05:00,0.30,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 05:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 06:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 07:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 07:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 08:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 10:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 11:00,0.20,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 11:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 12:00,0.20,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 12:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 13:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 13:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 14:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 19:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 20:00,0.20,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 20:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 21:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 21:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 22:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730526 02:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730526 03:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730526 05:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730526 06:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730601 00:15,0.00,g, ,HT
