STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990124 05:00,1.00, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990125 17:30,1.01, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990125 22:00,1.02, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990126 05:00,1.03, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990126 15:30,1.04, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990130 00:45,1.05, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990131 08:30,1.06, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990131 10:45,1.07, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990131 15:15,1.08, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990131 19:15,1.09, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990201 00:15,1.09, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990204 16:30,1.10, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990207 17:15,1.12, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990208 17:45,1.13, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 02:00,1.13, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 02:15,999.99,[, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 15:45,999.99,], ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 16:00,0.27,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 21:00,0.28, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 23:15,0.29, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990209 23:45,0.30, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990210 00:15,0.32, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990210 01:15,0.33, , ,HT
